customer_id,age,gender,education,employment_type,employment_length,annual_income,existing_emi,debt_to_income_ratio,cibil_score,credit_utilization_ratio,previous_default,loan_amount,loan_type,loan_purpose,loan_tenure_years,interest_rate,risk_category,lender_type,loan_processing_fee_percent,application_channel,state,city,area_type,loan_approval_time_days,document_verification_status,loan_approval_status,rejection_reason,EMI,EMI_to_Income_Ratio, risk_rule,Loan_to_Income_Ratio
1,40,Male,Graduate,Salaried,21,737179,6113,0.2,654,28.96,No,166976,Appliances,Appliances,3,16.66,Medium,Finance Company,2.53,Online,Maharashtra,Bathinda,Urban,3,Processing,Approved,,5924.93,0.1,Low,0.23
2,47,Male,Graduate,Salaried,9,640639,6780,0.15,518,77.78,No,65191,Home,Home,6,11.03,High,Finance Company,2.31,Online,Rajasthan,Haldia,Urban,5,Done,Rejected,Low Income,1241.85,0.02,Low,0.1
3,43,Male,Graduate,Salaried,23,666628,6926,0.16,462,31.16,Yes,168071,Appliances,Appliances,16,13.92,High,Government Bank,0.68,Online,Rajasthan,Alwar,Urban,13,Processing,Approved,,2188.67,0.04,Low,0.25
4,28,Female,Graduate,Self-employed,23,1143020,17211,0.23,492,19.73,No,243921,Home,Home,5,8.13,High,Finance Company,2.15,Online,West Bengal,Jorhat,Urban,3,Done,Rejected,High Existing EMI,4961.03,0.05,Low,0.21
5,51,Male,Graduate,Salaried,30,366810,15839,0.55,507,66.55,No,52343,Business,Business,8,14.5,High,Finance Company,1.86,Offline,Gujarat,Aurangabad,Rural,1,Done,Approved,,924.23,0.03,Low,0.14
6,37,Male,Graduate,Salaried,25,530839,10621,0.36,476,60.55,No,338380,Vehicle,Vehicle,11,15.53,High,Government Bank,0.46,Online,Maharashtra,South Dumdum,Urban,16,Done,Approved,,5361.22,0.12,Low,0.64
7,31,Female,Graduate,Salaried,5,422951,7501,0.29,457,85.42,No,228306,Personal,Personal,18,12.96,High,Finance Company,1.77,Online,Bihar,Singrauli,Urban,2,Processing,Approved,,2734.34,0.08,Low,0.54
8,43,Male,Graduate,Salaried,24,451600,18144,0.96,849,24.67,No,1523820,Home,Home,12,9.91,Low,Private Bank,0.95,Offline,Maharashtra,Narasaraopet,Rural,7,Processing,Approved,,18131.7,0.48,High,3.37
9,61,Female,Graduate,Salaried,25,469611,6280,0.26,585,25.31,No,254867,Vehicle,Vehicle,18,17.85,High,Finance Company,2.86,Online,Rajasthan,Kollam,Urban,3,Done,Approved,,3954.05,0.1,Low,0.54
10,30,Female,Non-Graduate,Salaried,9,644726,14218,0.49,574,88.15,No,344589,Appliances,Appliances,3,16.08,High,Government Bank,0.42,Offline,Maharashtra,Kavali,Rural,10,Processing,Pending,,12128.34,0.23,Low,0.53
11,28,Male,Graduate,Salaried,25,862071,819,0.04,499,60.45,No,206276,Appliances,Appliances,17,11.4,High,Finance Company,2.5,Online,Bihar,Bhilai,Urban,5,Done,Approved,,2292.8,0.03,Low,0.24
12,60,Male,Graduate,Salaried,8,772896,13277,0.5,731,22.85,No,929735,Business,Business,6,12.95,Medium,Finance Company,1.87,Online,Bihar,Singrauli,Urban,5,Processing,Approved,,18639.07,0.29,Low,1.2
13,44,Male,Non-Graduate,Salaried,9,795551,12750,0.33,465,29.49,No,248449,Vehicle,Vehicle,3,17.91,High,Private Bank,0.77,Offline,West Bengal,Burhanpur,Rural,4,Processing,Approved,,8970.81,0.14,Low,0.31
14,36,Female,Graduate,Salaried,10,307094,4268,0.43,825,75.44,No,542547,Agriculture,Agriculture,10,8.22,Low,Private Bank,1.25,Online,Uttar Pradesh,Gurgaon,Urban,8,Processing,Approved,,6645.83,0.26,Low,1.77
15,44,Female,Graduate,Salaried,11,555871,19778,0.66,790,82.26,No,1589963,Education,Education,20,5.34,Low,Government Bank,0.69,Offline,Maharashtra,Ujjain,Rural,10,Done,Approved,,10793.97,0.23,Low,2.86
16,40,Male,Non-Graduate,Salaried,23,689188,13730,0.28,716,69.94,No,198165,Business,Business,15,13.51,Medium,Government Bank,0.37,Offline,Rajasthan,Ichalkaranji,Rural,15,Done,Approved,,2574.13,0.04,Low,0.29
17,54,Male,Graduate,Salaried,16,867308,18685,0.4,696,32.74,Yes,903946,Personal,Personal,17,11.77,Medium,Finance Company,2.34,Offline,Uttar Pradesh,Patiala,Rural,3,Done,Pending,,10268.21,0.14,Low,1.04
18,39,Female,Graduate,Salaried,20,512719,15223,0.42,477,44.43,No,305815,Agriculture,Agriculture,15,6.29,High,Private Bank,1,Online,Rajasthan,Danapur,Urban,6,Processing,Approved,,2628.8,0.06,Low,0.6
19,47,Female,Graduate,Salaried,26,500434,11565,0.47,840,58.38,No,576432,Personal,Personal,10,11.65,Low,Finance Company,1.63,Online,West Bengal,Mysore,Urban,1,Done,Rejected,Insufficient Employment Length,8153.92,0.2,Low,1.15
20,48,Male,Graduate,Salaried,11,595792,19520,0.42,598,54.48,No,93707,Business,Business,13,15.14,High,Private Bank,0.9,Online,Maharashtra,Naihati,Urban,3,Done,Pending,,1377.04,0.03,Low,0.16
21,30,Male,Graduate,Salaried,30,669658,7404,0.32,678,46.27,Yes,903722,Personal,Personal,19,12.44,Medium,Finance Company,2.1,Online,Bihar,Vijayawada,Urban,3,Processing,Approved,,10354.69,0.19,Low,1.35
22,37,Female,Graduate,Salaried,20,635792,6876,0.2,500,49.47,No,259617,Home,Home,10,10.45,High,Private Bank,1.27,Online,Tamil Nadu,Uluberia,Urban,8,Done,Rejected,Insufficient Employment Length,3495.88,0.07,Low,0.41
23,39,Female,Graduate,Self-employed,11,805270,10213,0.44,803,30.61,No,1294041,Business,Business,9,11.93,Low,Government Bank,0.37,Online,Delhi,Kalyan-Dombivli,Urban,19,Processing,Rejected,Insufficient Employment Length,19597.97,0.29,Low,1.61
24,52,Female,Non-Graduate,Salaried,9,612065,17740,0.81,715,22.18,No,905449,Personal,Personal,4,11.54,Medium,Finance Company,1.77,Offline,Delhi,Raichur,Rural,1,Done,Approved,,23639.96,0.46,High,1.48
25,50,Male,Graduate,Salaried,15,784187,7796,0.15,644,49.26,No,164799,Education,Education,12,7.15,High,Government Bank,0.56,Offline,Uttar Pradesh,Saharanpur,Rural,13,Processing,Pending,,1707.97,0.03,Low,0.21
26,58,Male,Non-Graduate,Salaried,18,721745,16116,0.78,796,76.61,No,1498927,Vehicle,Vehicle,6,13.92,Low,Private Bank,1.3,Offline,Uttar Pradesh,Anantapuram,Rural,6,Processing,Pending,,30822.33,0.51,High,2.08
27,33,Female,Graduate,Salaried,23,854957,8893,0.24,582,19.71,No,320188,Appliances,Appliances,4,11.76,High,Private Bank,1.12,Online,Uttar Pradesh,Srikakulam,Urban,7,Processing,Approved,,8394.1,0.12,Low,0.37
28,30,Male,Graduate,Salaried,18,398164,11057,0.35,583,11.35,No,55901,Vehicle,Vehicle,17,12.01,High,Government Bank,0.5,Offline,Uttar Pradesh,Kolkata,Rural,10,Processing,Approved,,643.91,0.02,Low,0.14
29,30,Male,Graduate,Self-employed,12,623649,16760,0.44,637,17.31,No,280871,Vehicle,Vehicle,6,15.63,High,Private Bank,1.12,Offline,Gujarat,Tenali,Rural,7,Processing,Approved,,6035.54,0.12,Low,0.45
30,59,Male,Graduate,Salaried,24,670895,6932,0.21,554,65.22,No,368462,Agriculture,Agriculture,10,8.43,High,Government Bank,0.65,Offline,Uttar Pradesh,Kollam,Rural,20,Processing,Approved,,4554.62,0.08,Low,0.55
31,35,Male,Graduate,Salaried,23,870287,13122,0.89,760,36.51,No,1544316,Personal,Personal,3,12.56,Low,Finance Company,1.91,Online,Tamil Nadu,Kumbakonam,Urban,3,Processing,Approved,,51707.42,0.71,High,1.77
32,61,Male,Non-Graduate,Salaried,7,302191,14570,0.77,565,63.75,No,164355,Appliances,Appliances,4,16.44,High,Finance Company,2.01,Offline,Gujarat,Bahraich,Rural,3,Processing,Approved,,4694.99,0.19,Low,0.54
33,47,Female,Graduate,Salaried,15,427436,14179,0.5,793,66.26,No,313320,Education,Education,11,7.88,Low,Government Bank,0.36,Online,Uttar Pradesh,Karaikudi,Urban,18,Done,Approved,,3556.48,0.1,Low,0.73
34,58,Male,Graduate,Salaried,8,778438,7131,0.19,732,80.7,No,500889,Personal,Personal,15,9.35,Medium,Government Bank,0.41,Offline,Uttar Pradesh,Muzaffarnagar,Rural,14,Done,Approved,,5185.17,0.08,Low,0.64
35,45,Male,Graduate,Salaried,18,351167,12950,1.44,664,83.66,No,591424,Vehicle,Vehicle,2,16.61,Medium,Private Bank,1.04,Online,Delhi,Warangal,Urban,6,Done,Approved,,29130.63,1,High,1.68
36,59,Female,Graduate,Self-employed,19,1271908,3246,0.24,836,63.99,No,1875207,Vehicle,Vehicle,14,11.06,Low,Finance Company,2.9,Online,Gujarat,Bhavnagar,Urban,4,Done,Pending,,21991.57,0.21,Low,1.47
37,58,Male,Graduate,Salaried,19,542282,3417,0.16,524,28.98,No,244779,Home,Home,9,12.2,High,Private Bank,1.02,Online,West Bengal,Pudukkottai,Urban,4,Processing,Pending,,3744.44,0.08,Low,0.45
38,59,Female,Graduate,Salaried,16,729862,6262,0.37,818,26.23,No,1053514,Personal,Personal,9,12.29,Low,Private Bank,1.32,Online,Bihar,Imphal,Urban,3,Processing,Approved,,16169.57,0.27,Low,1.44
39,25,Male,Graduate,Salaried,21,621403,11519,0.33,730,26.59,No,475159,Vehicle,Vehicle,20,13.04,Medium,Finance Company,1.57,Online,Tamil Nadu,Nagpur,Urban,2,Done,Pending,,5580.39,0.11,Low,0.76
40,27,Male,Graduate,Salaried,7,755330,7243,0.16,745,84.31,No,186186,Business,Business,16,15.05,Medium,Private Bank,0.73,Offline,Uttar Pradesh,Karnal,Rural,8,Done,Approved,,2569.85,0.04,Low,0.25
41,57,Male,Graduate,Pensioner,28,332246,6335,0.29,484,40.77,No,234470,Education,Education,17,5.02,High,Private Bank,1.41,Online,Rajasthan,Ghaziabad,Urban,5,Done,Approved,,1710.98,0.06,Low,0.71
42,62,Male,Graduate,Self-employed,9,1453220,13995,0.24,804,67.19,No,1216429,Personal,Personal,13,12.26,Low,Government Bank,0.62,Online,Uttar Pradesh,Rajahmundry,Urban,15,Done,Approved,,15628.62,0.13,Low,0.84
43,40,Male,Non-Graduate,Self-employed,24,1349136,5895,0.1,813,47.78,No,310934,Appliances,Appliances,13,16.66,Low,Government Bank,0.54,Offline,Rajasthan,Rajkot,Rural,20,Done,Approved,,4885.35,0.04,Low,0.23
44,42,Male,Graduate,Salaried,24,300667,12706,0.62,561,58.12,No,159229,Vehicle,Vehicle,10,17.29,High,Finance Company,2.39,Online,Uttar Pradesh,Hapur,Urban,5,Done,Approved,,2796.69,0.11,Low,0.53
45,42,Female,Non-Graduate,Salaried,18,695206,17505,0.35,667,20.94,No,370152,Agriculture,Agriculture,16,5.4,Medium,Government Bank,0.27,Offline,Tamil Nadu,Ramgarh,Rural,16,Done,Approved,,2883.26,0.05,Low,0.53
46,59,Female,Graduate,Salaried,8,548013,8571,0.34,816,46.99,No,598338,Personal,Personal,12,9.05,Low,Government Bank,0.31,Offline,Bihar,Junagadh,Rural,11,Processing,Approved,,6826.13,0.15,Low,1.09
47,41,Male,Graduate,Salaried,14,743908,15738,0.31,485,74.28,No,289164,Personal,Personal,11,10.74,High,Private Bank,0.72,Online,Tamil Nadu,Ambala,Urban,8,Done,Approved,,3742.43,0.06,Low,0.39
48,36,Male,Graduate,Salaried,13,691134,19435,0.38,526,51.88,No,188092,Vehicle,Vehicle,16,13.46,High,Finance Company,2.24,Online,Delhi,Patiala,Urban,2,Processing,Pending,,2390.58,0.04,Low,0.27
49,44,Male,Graduate,Salaried,5,567063,1568,1.16,777,50.84,No,1883894,Vehicle,Vehicle,4,16.03,Low,Government Bank,0.34,Online,Maharashtra,Ozhukarai,Urban,10,Done,Approved,,53419.03,1.13,High,3.32
